  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  2.726342391629e-003  1.397879815286e+000  -5.591519261142e+000  -4.944863192515e-001  
  2.727342414518e-003  1.399119512406e+000  -5.596478049625e+000  -4.949418303336e-001  
  2.728342437406e-003  1.400293712867e+000  -5.601174851467e+000  -4.953778010653e-001  
  2.729342460294e-003  1.401429405817e+000  -5.605717623268e+000  -4.957942142343e-001  
  2.730342483182e-003  1.402515647525e+000  -5.610062590099e+000  -4.961910534008e-001  
  2.731342506070e-003  1.403547856620e+000  -5.614191426479e+000  -4.965683028973e-001  
  2.732342528958e-003  1.404530639115e+000  -5.618122556460e+000  -4.969259478301e-001  
  2.733342551847e-003  1.405435942561e+000  -5.621743770243e+000  -4.972639740793e-001  
  2.734342574735e-003  1.406282504264e+000  -5.625130017056e+000  -4.975823682997e-001  
  2.735342597623e-003  1.407094073389e+000  -5.628376293556e+000  -4.978811179209e-001  
  2.736342620511e-003  1.407860691997e+000  -5.631442767987e+000  -4.981602111483e-001  
  2.737342643399e-003  1.408559814852e+000  -5.634239259409e+000  -4.984196369633e-001  
  2.738342666288e-003  1.409196386198e+000  -5.636785544792e+000  -4.986593851237e-001  
  2.739342689176e-003  1.409785087446e+000  -5.639140349785e+000  -4.988794461643e-001  
  2.740342712064e-003  1.410328366332e+000  -5.641313465328e+000  -4.990798113970e-001  
  2.741342734952e-003  1.410811340313e+000  -5.643245361252e+000  -4.992604729113e-001  
  2.742342757840e-003  1.411244790261e+000  -5.644979161045e+000  -4.994214235748e-001  
  2.743342780728e-003  1.411615165826e+000  -5.646460663305e+000  -4.995626570331e-001  
  2.744342803617e-003  1.411931665592e+000  -5.647726662369e+000  -4.996841677103e-001  
  2.745342826505e-003  1.412194173546e+000  -5.648776694183e+000  -4.997859508091e-001  
  2.746342849393e-003  1.412405366592e+000  -5.649621466369e+000  -4.998680023112e-001  
  2.747342872281e-003  1.412569039238e+000  -5.650276156951e+000  -4.999303189771e-001  
  2.748342895169e-003  1.412668043883e+000  -5.650672175530e+000  -4.999728983465e-001  
  2.749342918058e-003  1.412713943901e+000  -5.650855775603e+000  -4.999957387384e-001  
  2.750342940946e-003  1.412711995983e+000  -5.650847983930e+000  -4.999988392512e-001  
  2.751342963834e-003  1.412656264363e+000  -5.650625057453e+000  -4.999821997622e-001  
  2.752342986722e-003  1.412534995287e+000  -5.650139981150e+000  -4.999458209286e-001  
  2.753343009610e-003  1.412352591133e+000  -5.649410364534e+000  -4.998897041866e-001  
  2.754343032498e-003  1.412128896538e+000  -5.648515586153e+000  -4.998138517515e-001  
  2.755343055387e-003  1.411850913622e+000  -5.647403654490e+000  -4.997182666182e-001  
  2.756343078275e-003  1.411509628531e+000  -5.646038514122e+000  -4.996029525603e-001  
  2.757343101163e-003  1.411115276361e+000  -5.644461105442e+000  -4.994679141303e-001  
  2.758343124051e-003  1.410675185174e+000  -5.642700740697e+000  -4.993131566597e-001  
  2.759343146939e-003  1.410189651972e+000  -5.640758607889e+000  -4.991386862583e-001  
  2.760343169828e-003  1.409675755499e+000  -5.638703021996e+000  -4.989445098142e-001  
  2.761343192716e-003  1.409058830217e+000  -5.636235320867e+000  -4.987306349935e-001  
  2.762343215604e-003  1.408387660162e+000  -5.633550640649e+000  -4.984970702400e-001  
  2.763343238492e-003  1.407661895825e+000  -5.630647583301e+000  -4.982438247749e-001  
  2.764343261380e-003  1.406897556142e+000  -5.627590224569e+000  -4.979709085962e-001  
  2.765343284269e-003  1.406054292350e+000  -5.624217169400e+000  -4.976783324788e-001  
  2.766343307157e-003  1.405181274534e+000  -5.620725098135e+000  -4.973661079736e-001  
  2.767343330045e-003  1.404255004986e+000  -5.617020019945e+000  -4.970342474073e-001  
  2.768343352933e-003  1.403277418633e+000  -5.613109674534e+000  -4.966827638817e-001  
  2.769343375821e-003  1.402224257894e+000  -5.608897031575e+000  -4.963116712734e-001  
  2.770343398709e-003  1.401135250235e+000  -5.604541000942e+000  -4.959209842333e-001  
  2.771343421598e-003  1.399992840364e+000  -5.599971361454e+000  -4.955107181856e-001  
  2.772343444486e-003  1.398782478299e+000  -5.595129913197e+000  -4.950808893277e-001  
  2.773343467374e-003  1.397526646403e+000  -5.590106585611e+000  -4.946315146294e-001  
  2.774343490262e-003  1.396222529284e+000  -5.584890117134e+000  -4.941626118319e-001  
